wavelength,ew,id
3866.104,39.0,CN
3866.393,67.0,CN
3867.224,110.0,Fe I
3867.627,87.0,CN
3867.863,100.0,CN
3868.741,80.0,CN
3869.173,88.0,CN
3869.612,154.0,Fe I
3870.072,95.0,CN
3870.664,53.0,CN
3870.887,85.0,CN
3871.392,764.0,CN
3871.758,132.0,Fe I
3872.51,612.0,Fe I
3873.133,135.0,Co I
3873.502,97.0,CN
3874.06,116.0,Fe I
3874.726,87.0,CN
3875.085,74.0,V I
3875.546,45.0,Sm I
3876.051,141.0,Fe I
3876.486,64.0,CN
3876.845,91.0,CN
3877.451,76.0,CN
3878.027,555.0,Fe I
3878.58,724.0,Fe I
3878.838,26.0,CN
3879.257,122.0,CN
3880.038,100.0,CN
3880.394,139.0,CN
3881.04,121.0,CN
3881.307,147.0,CN
3882.085,136.0,CN
3882.3,141.0,T I
3882.847,140.0,CN
3883.287,228.0,Cr I
3884.097,5.5,T I
3884.369,136.0,Fe I
3885.151,28.0,Fe I
3885.519,87.0,Fe I
3885.865,6.5,N I
3886.428,11.0,Fe I
3887.059,219.0,Fe I
3887.372,8.0,T I
3888.041,9.0,T I
3888.524,265.0,He I
3889.05,2346.0,H 8
3889.676,42.0,Ni I
3889.929,55.0,Fe I
3890.568,38.0,CH
3890.849,64.0,Fe I
3891.934,88.0,Fe I
3892.591,49.0,CH
3892.898,78.0,Fe I
3893.402,182.0,Fe I
3893.92,70.0,Fe I
3894.493,33.0,Fe I
3894.986,78.0,Co I
3895.448,87.0,Fe I
3895.794,361.0,Mg I
3896.622,27.0,Fe I
3896.781,21.0,N I
3897.458,83.0,Fe I
3898.014,158.0,Fe I
3898.394,74.0,CH
3899.036,85.0,Fe I
3899.719,436.0,Fe I
3900.224,16.0,Nd I
3900.66,20.0,Al I
3900.963,37.0,T I
3901.598,62.0,CH
3901.866,71.0,CH
3902.262,61.0,V I
3903.161,18.0,Cr I
3903.257,40.0,V I
3903.854,224.0,Mg I
3904.63,20.0,N I
3904.79,60.0,T I
3905.532,816.0,Si I
3905.905,61.0,CH
3906.49,164.0,Fe I
3906.752,77.0,Fe I
3907.478,73.0,Sc I
3907.94,82.0,Fe I
3908.685,98.0,Fe I
3908.928,63.0,N I
3909.668,89.0,Fe I
3909.837,115.0,Fe I
3910.534,114.0,CH
3910.849,86.0,Fe I
3911.701,34.0,Fe I
3911.825,60.0,Sc I
3912.294,63.0,N I
3912.981,51.0,N I
3913.47,138.0,Ti II
3914.013,53.0,CH
3914.338,133.0,Fe II
3915.218,46.0,Fe I
3915.612,78.0,CH
3915.811,110.0,CH
3916.737,90.0,Fe I
3917.124,151.0,Co I
3917.591,23.0,Cr I
3918.113,4.5,Hf I
3918.324,190.0,Fe I
3919.168,2.5,Cr I
3919.817,8.0,Ce I
3920.269,341.0,Fe I
3921.049,125.0,Cr I
3921.556,79.0,CH
3922.084,24.0,Fe I
3922.421,34.0,Sm I
3922.923,414.0,Fe I
3923.502,11.0,Sc I
3924.067,20.0,Mn I
3924.533,68.0,T I
3925.209,70.0,Fe I
