wavelength,ew,id
3754.578,120,Cr II
3755.134,13,CN
3755.452,44,Co I
3756.072,65,Fe I
3756.650,7.5,CN
3756.941,96,Fe I
3757.684,92,Ti II
3757.810,14,Zr II
3758.316,3,CN
3759.075,29,La II
3759.299,334,Ti II
3760.224,24,V II
3760.537,100,Fe I
3761.067,46,Fe I
3761.320,277,Ti II
3761.874,78,Ti II
3762.309,75,CN
3762.870,16,CN
3763.476,14,Nd II
3763.803,829,Fe I
3764.384,28,Sm II
3764.849,5,CN
3765.551,174,Fe I
3766.094,56,Fe I
3766.666,78,Fe I
3767.204,820,Fe I
3767.437,20,Cr I
3768.034,78,Fe I
3768.733,44,Cr I
3769.019,21,Cr I
3769.722,5,CN
3769.994,77,Fe I
3770.630,1860,H 11
3770.972,44,V II
3771.658,62,Ti I
3772.104,19,CN
3772.533,86,Ni I
3772.931,24,V II
3773.699,88,Fe I
3774.033,13,CN
3774.336,74,Y II
3774.832,100,Fe I
3775.578,144,Ni I
3776.059,84,Ti II
3776.461,90,Fe I
3777.074,68,Fe I
3777.456,94,Fe I
3778.066,66,Ni I
3778.515,88,Fe I
3778.798,58,CN
3779.731,24,CN
3779.808,16,CN
3780.516,26,CN
3781.190,76,Fe I
3781.516,18,Fe II
3781.938,70,Fe I
3782.453,74,Fe I
3783.085,11,CN
3783.535,164,Ni I
3783.818,29,CN
3784.252,16,Nd II
3785.013,6,CN
3785.707,96,Fe I
3786.175,144,Fe I
3786.682,132,Fe I
3787.166,139,Fe I
3787.482,6.5,CN
3787.891,512,Fe I
3788.701,84,Y II
3789.184,110,Fe I
3789.577,56,Fe I
3790.098,179,Fe I
3790.657,157,Fe I
3790.759,119,Fe I
3791.509,75,Fe I
3792.079,110,CN
3792.651,121,CN
3792.832,72,Fe I
3793.605,123,Ni I
3793.876,80,Cr I
3794.615,22,La II
3794.773,48,La II
3795.538,65,Fe I
3796.186,31,CN
3796.496,15,Zr II
3796.887,76,Ti II
3797.522,103,Fe I
3797.954,54,Fe I
3798.521,304,Fe I
3798.903,20,Ru I
3799.558,622,Fe I
3800.034,58,CN
3800.546,34,Mn I
3801.113,33,Ti I
3801.371,75,Fe I
3801.990,105,Fe I
3802.285,80,Fe I
3803.090,61,CN
3803.482,42,V I
3804.015,100,Fe I
3804.612,68,CN
3804.793,95,CN
3805.349,171,Fe I
3806.219,105,Fe I
3806.718,209,Mn I
3807.151,193,Ni I
3807.544,178,Fe I
3807.937,111,Cr I
3808.734,114,Fe I
3809.049,85,Fe I
3809.586,132,V I
3809.921,20,CN
3810.540,41,CN
3810.760,120,Fe I
3811.298,67,Ni I
3811.894,147,Fe I
3812.448,18,Co I
3812.962,322,Fe I
3813.394,138,Ti II
3814.122,38,Fe II
3814.358,22,CN
3814.892,26,CN
3815.437,51,Cr I
3815.851,1272,Fe I
3816.345,100,Fe I
3816.922,80,Fe I
3817.382,34,CN
3818.195,75,CN
3818.345,55,Y II
3819.063,49,CN
3819.494,83,Fe I
3819.961,21,V I
3820.436,1712,Fe I
3821.187,93,Fe I
3821.728,52,CN
3821.840,130,Fe II
3822.328,86,CN
3822.856,75,CN
3823.514,116,Mn I
3823.895,93,Mn I
3824.452,519,Fe I
3824.926,52,Fe II
3825.408,40,Fe I
3825.891,1519,Fe I
3826.709,58,CN
3826.852,88,Fe I
3827.580,73,Fe I
3827.832,897,Fe I
3828.510,94,Fe I
3829.154,77,Fe I
3829.365,874,Mg I
3830.076,50,CN
3830.609,43,CN
3831.037,77,Cr I
3831.700,129,Ni I
3831.888,26,CN
3832.310,1685,Mg I
3832.888,51,Ni I
3833.317,53,Fe I
3834.233,624,Fe I
3834.371,21,Mn I
3835.161,68,CN
3835.390,2362,H 9
3836.090,58,Ti II
3836.501,80,CN
3837.141,54,Fe I
3837.635,46,CN
3837.823,55,CN
3838.302,1920,Mg I
3838.751,63,CN
3839.263,104,Fe I
3839.785,82,Mn I
3840.447,567,Fe I
3841.058,517,Fe I
3841.730,124,CN
3842.054,126,Co I
3842.644,46,CN
3842.903,26,Fe I
3843.715,145,Fe I
3844.131,126,CN
3844.448,53,V I
3845.020,72,CN
3845.470,135,Co I
3845.993,104,Fe I
3846.417,105,Fe I
3846.809,160,Fe I
3847.339,53,V I
3847.848,146,CN
3848.297,92,Fe I
3849.006,121,Cr I
3849.367,88,Cr I
3849.977,608,Fe I
3850.492,65,Fe I
3850.826,222,Fe I
3851.291,102,CN
3852.217,63,Cr I
3852.579,148,Fe I
3853.203,82,Cr I
3853.732,58,Ti I
3854.211,81,CN
3854.571,189,CN
3854.854,84,CN
3855.412,151,V I
3855.851,96,Fe I
3856.381,648,Fe I
3857.154,54,CN
3857.667,149,Cr I
3857.819,73,CN
3858.303,202,Ni I
3858.917,131,CN
3859.280,108,CN
3859.922,1554,Fe I
3860.626,61,CN
3861.167,104,Co I
3861.547,250,CN
