wav,strength,id
8198.278,-3,©
8198.98,3,Fe Atm
8199.49,-3,Atm
8199.989,4,Atm
8200.6948,6,Atm
8200.99,-3,©
8201.2,-3,©
8201.57,-2,Atm
8201.695,a,Atm Q
8202.14,-3,Fe?
8202.37,-3,Atm
8202.94,-3,o
8203.23,-2,
8203.53,-3,of
8204.09,-2,Fe p
8204.827,3,Atm
8204.95,) ON,Fe p
8205.31,-3,
8205.67,-3,of
8206.785,-1,Atm
8207.04,-3,o
8207.749,4,Fe
8208.15,-3,Atm
8208.56,-2,Co
8209.559,3,Atm
8209.85,-3,of
8210.321,a,Atm
8211.05,-3NN,©
8211.151,-2N,Atm
8211.57,-3,
8212.132,5,Atm
8212.55,-3,Zr
8213.041,9N,Mg
8213.85,-1d,Atm o
8214.413,a,Atm
8214.71,-3,of
8215.155,3N,©
8215.798,-2,
8216.303,-2,N
8216.975,-2,Atm
8218.1148,10,Atm
8218.51,-2,©
8219.71,-2,o
8220.388,10,Fe
8221.5538,6,Atm
8222.7,-3,o
8222.88,-3,N
8223.99,8,Atm
8224.46,a,Atm
8224.82,-3,of
8225.124,-2,0?
8226.962,(20),Atm
8227.25,-2,
8227.986,7,Atm
8228.761,8,Atm
8228.86,-3,
8229.27,-3,
8229.762,8,Atm
8230.486,a,Atm
8230.63,-3,S1
8231.289,9,Atm
8231.703,8,Atm
8232.319,5,Fe
8232.34,-3,Atm?
8233.906,8,Atm
8234.628,3,Atm
8235.34,-3,07
8235.81,-3,Cr?
8236.121,2,Atm
8237.3418,5,Atm
8238.32,P8,Atm
8238.538,-1,Atm
8239.1328,2,Fe
8239.924,4,Atm
8240.379,-3,of
8241.277,-2,Atm
8241.6,,V
8241.765,-3,of
8242.365,2d,Atm
8243.13,a,Atm
8243.488,9,Atm
8244.05,-2N,Atm
8244.75,-3N,Atm
8245.28,-3N,Atm
8245.84,-3N,Atm
8246.629,1,Atm
8246.81,-3,©
8247.307,-3,©
8247.85,-3,Atm
8248.137,4,Fe
8248.802,4,.o
8249.62,-3,Atm
8250.38,-2,o
8250.99,-2,
8251.636,-3,o
8252.02,-3,o
8252.7278,6,Atm
8253.6,,V
8253.81,-3,Fe p
8254.32,-3,Fe
8254.681,1,©
8255.57,-3,of
8256.0,,V
8256.515,(20),Atm
8257.283,-3,o
8257.51,-3,o
8257.86,2,Atm
8258.4,-3d,o
8258.72,-3,
8259.6928,8,Atm
8260.355,0,Atm
8260.79,-2,Atm?
8261.0,-3N,Atm
8261.849,-1,Cr?
8262.733,-1N,Atm
8263.445,7,Atm
8263.85,0,Fe P
8264.276,0,Fe
8264.642,-1,Atm
8264.969,0,Atm
8265.69,-3N,of
8266.433,-1,©
8267.118,-1,o
8268.073,-1,©
8303.17,-3,Fe p
8303.39,-2,Atm
8304.3,6,Atm
8305.092,12,Atm
8305.617,-1,©
8306.2,-3,Atm?
8306.41,-3,0?Atm?
8306.699,-2,Atm
8307.12,-3,Atm?
8307.54,,T1
8307.603,0,Atm
8308.67,0,Atm
8309.39,-3,of
8309.71,-2,o
8310.115,a ),Atm
8310.252,2,©
8310.829,-1,Atm
8311.28,-3N,o
8311.767,2,Atm ©
8311.9568,6,Atm
8312.44,-3,
8312.874,-3,
8313.301,-3,©
8313.873,3,Atm
8314.45,-3,o
8314.77,-3,©
8315.67,-3,Atm
8315.927,-1,Atm
8316.2248,5,Atm
8316.3,oT,
8317.02,-3,
8317.394,-3,S17
8318.139,9,Atm
8319.36,-3,©
8320.183,-3,©
8320.443,-3,07
8320.9,-1?,
8321.242,9,Atm
8321.587,10,Atm
8322.527,-3,
8322.924,-3,07
8323.42,-3N,Atm
8324.142,-3,©
8324.608,-2,Atm
8324.99,-3,of
8325.45,-3,©
8325.6888,5,Atm
8325.737,-3,©
8326.316,1,Atm
8326.68,-3,
8327.0618,10,Fe
8328.474,1,Atm
8328.95,-a,
8329.254,-2,Atm
8329.6828,8,Atm
8330.26,-2,©
8330.489,-1,Atm
8331.2,-3,o
8331.432,-3,o
8331.926,6,Fe
8332.145,2,Atm
8332.726,1,Atm
8332.88,-1,o
8333.584,5,Atm
8333.891,-3,Atm
8334.33,,T1
8334.454,2,Atm
8335.15,3N,C
8335.508,3,Atm
8336.108,0,Atm
8336.236,0,©
8336.98,-2,of
8337.1,-2,of
8337.34,-3N,07
8337.916,-3,07
8338.343,-2,S1
8338.666,-1,Atm
8338.902,0,Atm
8339.034,10,Atm
8339.413,4,Fe
8340.5,-1,©
8341.443,0,Atm
8341.874,-1,Atm
8342.29,3,Atm
8342.866,0,Fe
8343.33,-3,of
